Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
1.146879606581200362e+00,1.283178903285857375e+00,1.263025994015342349e+03,9.842945444170651399e+02,2.300000000000000000e+01,1.380200000000000000e+04,5.102000000000000000e+03,1.660948031041588613e-01,3.064724762307468567e-04,6.358102257619948185e-05,3.452310637965481108e-04,-5.054365338019376691e-08,-4.626968475731550182e-06,7.839373157409851420e-09
1.284364401460558414e+00,1.157242444086971744e+00,9.730360144876875665e+02,1.126038575590377604e+03,9.000000000000000000e+00,1.294000000000000000e+04,4.724000000000000000e+03,1.750630066840232479e-01,1.609632626729494420e-04,2.327837314730474538e-05,1.444831335337902999e-03,2.586701569099489230e-07,1.116798353534654462e-05,5.745063790718052804e-08
2.001664358903416208e+00,1.357102005307055270e+00,6.795702430751116481e+02,9.222461396242371165e+02,3.100000000000000000e+01,9.313000000000000000e+03,4.312000000000000000e+03,1.723275891492774825e-01,6.747952338651376026e-04,5.190289095092237852e-05,4.781365064286438571e-05,-1.418836215419644882e-09,4.510787117787334738e-07,-1.913205207747222629e-09
1.061277770040557344e+00,1.134726631993646651e+00,6.487829443317776850e+02,7.361912853165196111e+02,1.800000000000000000e+01,8.668000000000000000e+03,2.780000000000000000e+03,1.644787285062799809e-01,3.622470661764516507e-05,1.065778991839090730e-05,4.716287919348774622e-04,-3.146911507329346547e-08,-2.122254240633718727e-06,-1.130320553997929472e-08
1.328651210583701170e+00,1.644253241325065895e+00,1.025912180363308835e+03,1.686859427877236158e+03,3.700000000000000000e+01,1.632000000000000000e+04,7.449000000000000000e+03,1.664808065518516011e-01,1.652827044848544742e-03,5.130925339127055099e-05,2.388754905132593970e-05,5.207765137507070739e-10,4.259421975264537837e-07,6.543450264112637886e-10
1.471599862632020361e+00,1.659090547491198109e+00,1.435195718426959502e+03,8.650496626583749276e+02,1.600000000000000000e+01,1.357300000000000000e+04,4.396000000000000000e+03,1.694598051258474625e-01,1.764236382364948704e-03,7.132555214575377273e-05,1.560129533258699514e-06,6.612644959871144909e-12,6.537429748310712644e-08,1.507056242910779199e-11
1.047673594500898142e+00,1.302935693552527807e+00,1.011321802710854854e+03,1.317687274419860387e+03,7.000000000000000000e+00,1.443900000000000000e+04,4.596000000000000000e+03,1.720843528081664742e-01,1.011793801977797520e-03,9.650788141204896830e-05,1.373039404977977312e-03,4.969470179260057912e-07,4.319549623697977353e-05,5.343025753313275619e-08
1.073379450111370481e+00,1.152542809907204591e+00,7.274624486140761519e+02,8.384316146276427162e+02,2.300000000000000000e+01,9.769000000000000000e+03,3.571000000000000000e+03,1.647851644842667773e-01,5.063783068985726994e-05,5.399758692147626186e-05,4.490582154899302710e-04,-4.012801708095658595e-08,-2.873751358948813978e-06,-5.726642213696959534e-08
1.099847943814634688e+00,1.344054466046717744e+00,7.048558759774158489e+02,9.473646880267172037e+02,2.400000000000000000e+01,1.022900000000000000e+04,3.995000000000000000e+03,1.688084761279763091e-01,4.221303676723804957e-04,2.425626642321153549e-05,7.311539935355854114e-04,-8.381449304234491108e-08,-2.382124825797671869e-06,-4.955856798246851758e-08
1.240056007509630742e+00,1.230827791006213756e+00,1.224363929290946544e+03,9.947483622302816002e+02,3.200000000000000000e+01,1.363800000000000000e+04,4.854000000000000000e+03,1.627047790468839628e-01,2.834607650405100818e-04,9.956184189399676853e-05,1.539442569631488448e-06,-1.519224390447595601e-11,-5.736805320458639390e-09,1.150769899499144296e-11
8.472609931891085244e-01,1.115312472239495367e+00,1.488023160836591160e+03,1.334176024992090561e+03,2.000000000000000000e+00,1.769100000000000000e+04,5.409000000000000000e+03,1.738478264317305233e-01,7.164604515275338763e-05,6.061732078119770060e-06,1.526352479930135481e-03,-1.416359615892042734e-07,1.093672167860741062e-05,3.866407279745489566e-08
1.087674084931598228e+00,1.040378582632361937e+00,1.665564600321702073e+03,1.600921653065460987e+03,2.700000000000000000e+01,2.047400000000000000e+04,6.751000000000000000e+03,1.598929461676804609e-01,1.075506189245610013e-05,9.174333453130812058e-06,3.636244015713495782e-05,2.794163325561085937e-10,4.899073801276908879e-08,6.025138840601791620e-10
1.360895267739224090e+00,1.587683798720635364e+00,1.294379721025910612e+03,8.152629144851948695e+02,1.700000000000000000e+01,1.248100000000000000e+04,6.442000000000000000e+03,1.698361518136788928e-01,1.526202645649256222e-03,4.933255475940733544e-04,1.356689523151284778e-04,3.499034395505184076e-08,3.853130718719027049e-06,-2.752198450391006611e-09
1.340425027278645764e+00,1.054309785441720049e+00,8.016698683575898485e+02,7.603741134032227365e+02,3.500000000000000000e+01,9.594000000000000000e+03,3.514000000000000000e+03,1.741144670124952776e-01,1.227880797172320329e-04,1.524240175736893058e-05,1.318183357125360215e-03,-1.039707643309977805e-07,1.342283611031468413e-05,1.552500382819430123e-07
1.172650844121894353e+00,1.213983183293790846e+00,7.882249519562882369e+02,6.492881967422882781e+02,2.400000000000000000e+01,8.942000000000000000e+03,3.378000000000000000e+03,1.617867805667276837e-01,2.208985512927154967e-04,3.133746965863091680e-05,1.106378849976697706e-04,-4.167905379236501985e-09,-9.582822725614126549e-07,5.006853207974299162e-09
1.195283804848232379e+00,1.354953956054636199e+00,7.437840557045137757e+02,1.007793148727192943e+03,1.400000000000000000e+01,1.059900000000000000e+04,4.728000000000000000e+03,1.693071305421301465e-01,7.992386821701621220e-04,2.039169876062138270e-04,5.242380453188641171e-04,7.304340264183342230e-08,1.369790109212636366e-05,-1.550606234059928941e-07
1.035292839515655539e+00,2.176560964942782395e+00,8.769786192687648736e+02,1.908797429789811986e+03,6.000000000000000000e+00,1.549600000000000000e+04,8.791000000000000000e+03,1.958750789538051262e-01,2.588421699816371557e-03,4.945146253826186722e-05,1.308610044669804729e-03,-7.489574958737982851e-08,-5.776363747641297466e-05,3.243586284195244340e-07
1.189444943709085489e+00,1.148445195607215252e+00,8.648696905923920895e+02,7.530787658832175566e+02,2.200000000000000000e+01,1.002000000000000000e+04,4.500000000000000000e+03,1.672503581627228231e-01,3.056038635501465053e-05,3.423190926278319455e-05,5.573379834220915704e-04,6.986398369628510462e-08,-2.885420836750568733e-06,-3.233218813404315744e-08
1.969321988123794442e+00,1.089376122050817797e+00,1.295129003495419056e+03,1.188872215279749980e+03,3.700000000000000000e+01,1.543300000000000000e+04,7.641000000000000000e+03,1.717702223194760291e-01,2.518826748675950062e-04,6.269023761687459286e-05,1.249734312367547368e-03,2.659110180544044667e-07,1.869339486386315636e-05,2.272776766839947962e-07
